Activities by drafski89
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
 false,Easy Run for XC,Running,--,"Wed, 2013 Aug 28 16:20",21:48,2.50,209,8:43,4:59,--,--,288,--,--,--,--,--,--,
 false,XC Run Around GV and GC,Running,--,"Tue, 2013 Aug 27 15:51",13:01,1.67,96,7:47,5:53,--,--,185,--,--,--,--,--,--,
 false,5K Time Trial @ SASPD,Running,--,"Mon, 2013 Aug 26 16:28",22:08,3.06,126,7:14,4:42,--,--,345,--,--,--,--,--,--,
 false,Ultimate Frisbee,Running,--,"Sun, 2013 Aug 25 13:49",34:56,1.58,47,22:05,4:23,--,--,171,--,--,--,--,--,--,
 false,5K Time Trial,Running,--,"Sat, 2013 Aug 24 15:26",25:24,3.27,78,7:46,4:53,--,--,371,--,--,--,--,--,--,
 false,Mile Time Trial,Running,--,"Fri, 2013 Aug 23 15:41",6:57,1.01,46,6:54,5:06,--,--,114,--,--,--,--,--,--,
 false,2 Mile Tempo Run,Running,--,"Thu, 2013 Aug 22 15:47",20:59,2.61,109,8:02,5:09,--,--,298,--,--,--,--,--,--,
 false,Long Easy Canal Run,Running,--,"Wed, 2013 Aug 21 15:51",45:30,4.82,176,9:26,6:34,--,--,548,--,--,--,--,--,--,
 false,Long Run for XC Training,Running,--,"Sun, 2013 Aug 18 16:28",54:29,5.96,263,9:09,5:28,--,--,676,--,--,--,--,--,--,
 false,Half Mile Sprint for XC,Running,--,"Sun, 2013 Aug 18 16:23",3:13,0.49,42,6:31,4:46,--,--,57,--,--,--,--,--,--,
 false,Long Easy Run for XC,Running,--,"Fri, 2013 Aug 16 18:55",46:16,4.92,238,9:24,6:25,--,--,561,--,--,--,--,--,--,
 false,2 Mile Tempo Run,Running,--,"Thu, 2013 Aug 15 6:40",12:15,2.01,137,6:07,:31,--,--,197,--,--,--,--,--,--,
 false,Long Run Preparing for XC Season,Running,--,"Wed, 2013 Aug 14 6:46",36:06,4.06,261,8:53,2:28,--,--,460,--,--,--,--,--,--,
 false,2 Mile Run Training for XC,Running,--,"Sun, 2013 Aug 11 7:08",16:51,2.00,44,8:26,6:15,--,--,225,--,--,--,--,--,--,
 false,Medium Run at Hackett's House,Running,--,"Thu, 2013 Aug 1 11:45",7:16,0.64,3,11:25,7:36,--,--,66,--,--,--,--,--,--,
 false,Short Run at Hackett's House,Running,--,"Thu, 2013 Aug 1 11:35",8:04,0.99,13,8:08,6:08,--,--,112,--,--,--,--,--,--,
 false,Short Run Past Childhood House in Indiana,Running,--,"Tue, 2013 Jul 23 12:04",4:10,0.49,10,8:28,6:53,--,--,57,--,--,--,--,--,--,
 false,Short Run at Condo in Indiana,Running,--,"Tue, 2013 Jul 23 11:52",9:33,1.22,48,7:49,4:26,--,--,140,--,--,--,--,--,--,
 false,Medium Run at Condo in Indiana,Running,--,"Sun, 2013 Jul 21 20:33",32:34,3.90,92,8:21,5:32,--,--,445,--,--,--,--,--,--,
 false,Medium Run at Hackett's House,Running,--,"Wed, 2013 Jul 17 20:36",21:13,2.65,23,8:01,5:43,--,--,304,--,--,--,--,--,--,
 
